step,day,step_of_day,state,action,reward
157,31,2,active,idle,0.0
158,31,3,sedentary,nudge,0.0
159,31,4,sedentary,idle,0.0
160,32,0,sedentary,idle,0.0
161,32,1,sedentary,nudge,0.0
162,32,2,sedentary,nudge,1.0
163,32,3,active,nudge,1.0
164,32,4,active,nudge,0.0
165,33,0,sedentary,nudge,0.0
166,33,1,sedentary,idle,0.0
167,33,2,sedentary,idle,0.0
168,33,3,sedentary,nudge,0.0
169,33,4,sedentary,idle,0.0
170,34,0,sedentary,nudge,1.0
171,34,1,active,nudge,0.0
172,34,2,sedentary,nudge,1.0
173,34,3,active,nudge,0.0
174,34,4,sedentary,nudge,1.0
175,35,0,active,nudge,1.0
176,35,1,active,nudge,1.0
177,35,2,active,nudge,0.0
178,35,3,sedentary,nudge,0.0
179,35,4,sedentary,nudge,0.0
180,36,0,sedentary,nudge,0.0
181,36,1,sedentary,nudge,0.0
182,36,2,sedentary,nudge,0.0
183,36,3,sedentary,nudge,0.0
184,36,4,sedentary,nudge,0.0
185,37,0,sedentary,nudge,0.0
186,37,1,sedentary,nudge,0.0
187,37,2,sedentary,nudge,1.0
188,37,3,active,nudge,0.0
189,37,4,sedentary,nudge,1.0
190,38,0,active,nudge,0.0
191,38,1,sedentary,nudge,1.0
192,38,2,active,nudge,1.0
193,38,3,active,idle,0.0
194,38,4,sedentary,nudge,1.0
195,39,0,active,nudge,1.0
196,39,1,active,nudge,0.0
197,39,2,sedentary,nudge,0.0
198,39,3,sedentary,nudge,1.0
199,39,4,active,nudge,1.0
200,40,0,active,idle,0.0
201,40,1,sedentary,nudge,0.0
202,40,2,sedentary,idle,0.0
203,40,3,sedentary,idle,0.0
204,40,4,sedentary,nudge,1.0
205,41,0,active,nudge,1.0
206,41,1,active,nudge,1.0
207,41,2,active,idle,0.0
208,41,3,sedentary,nudge,1.0
209,41,4,active,nudge,0.0
210,42,0,sedentary,nudge,0.0
211,42,1,sedentary,nudge,0.0
212,42,2,sedentary,nudge,1.0
213,42,3,active,nudge,0.0
214,42,4,sedentary,nudge,0.0
215,43,0,sedentary,nudge,0.0
216,43,1,sedentary,nudge,1.0
217,43,2,active,nudge,1.0
218,43,3,active,nudge,0.0
