agent,params,total_mean,total_std,step_mean,last50_mean
decaying_epsilon_greedy,"eps_start=0.3,decay=700",124.34,14.350763045915015,0.2763111111111111,0.2984
decaying_epsilon_greedy,"eps_start=0.4,decay=25",116.9,28.436068645296242,0.2597777777777778,0.2724
decaying_epsilon_greedy,"eps_start=0.4,decay=50",121.2,22.62476519215172,0.2693333333333333,0.2848
decaying_epsilon_greedy,"eps_start=0.4,decay=75",119.78,24.765532499827255,0.2661777777777778,0.2828
decaying_epsilon_greedy,"eps_start=0.4,decay=100",122.82,23.087390497845355,0.2729333333333333,0.2884
decaying_epsilon_greedy,"eps_start=0.4,decay=150",125.18,16.575512058455388,0.2781777777777778,0.2924
decaying_epsilon_greedy,"eps_start=0.4,decay=200",125.26,17.788546877134177,0.2783555555555556,0.2924
decaying_epsilon_greedy,"eps_start=0.4,decay=250",127.4,14.806755215103678,0.2831111111111111,0.294
decaying_epsilon_greedy,"eps_start=0.4,decay=300",127.18,13.939426100094652,0.2826222222222222,0.2984
decaying_epsilon_greedy,"eps_start=0.4,decay=400",125.92,14.160282483058026,0.27982222222222225,0.298
decaying_epsilon_greedy,"eps_start=0.4,decay=500",126.5,12.7753669223236,0.2811111111111111,0.298
decaying_epsilon_greedy,"eps_start=0.4,decay=600",125.52,12.651071100898927,0.2789333333333333,0.2972
decaying_epsilon_greedy,"eps_start=0.4,decay=700",125.86,11.891190016142202,0.2796888888888889,0.2956
decaying_epsilon_greedy,"eps_start=0.5,decay=25",117.1,27.674717704070623,0.26022222222222224,0.2696
decaying_epsilon_greedy,"eps_start=0.5,decay=50",122.88,23.654716231652408,0.2730666666666667,0.2844
decaying_epsilon_greedy,"eps_start=0.5,decay=75",126.86,18.95469335019694,0.2819111111111111,0.292
decaying_epsilon_greedy,"eps_start=0.5,decay=100",125.54,19.58183852451041,0.27897777777777777,0.2884
decaying_epsilon_greedy,"eps_start=0.5,decay=150",129.48,13.077063890644567,0.28773333333333334,0.2976
decaying_epsilon_greedy,"eps_start=0.5,decay=200",127.22,16.999164685360274,0.28271111111111114,0.294
decaying_epsilon_greedy,"eps_start=0.5,decay=250",128.42,13.364265786043017,0.2853777777777778,0.3008
decaying_epsilon_greedy,"eps_start=0.5,decay=300",126.72,13.850689513522424,0.2816,0.2972
decaying_epsilon_greedy,"eps_start=0.5,decay=400",127.8,11.704699910719626,0.284,0.2992
decaying_epsilon_greedy,"eps_start=0.5,decay=500",127.32,10.542181937341056,0.2829333333333333,0.3
decaying_epsilon_greedy,"eps_start=0.5,decay=600",125.88,12.779107950087909,0.27973333333333333,0.298
decaying_epsilon_greedy,"eps_start=0.5,decay=700",125.56,10.868596965570118,0.2790222222222222,0.296
decaying_epsilon_greedy,"eps_start=0.6,decay=25",116.54,29.423262905395113,0.25897777777777775,0.2668
decaying_epsilon_greedy,"eps_start=0.6,decay=50",125.22,20.48344697554589,0.27826666666666666,0.29
decaying_epsilon_greedy,"eps_start=0.6,decay=75",128.7,16.815766411317682,0.286,0.2948
decaying_epsilon_greedy,"eps_start=0.6,decay=100",128.92,14.588817635435712,0.2864888888888889,0.2972
decaying_epsilon_greedy,"eps_start=0.6,decay=150",129.84,11.905225743344811,0.2885333333333333,0.3004
