agent,params,total_mean,total_std,step_mean,last50_mean
decaying_epsilon_greedy,"eps_start=0.1,decay=150",262.2,40.36533165972999,0.5826666666666667,0.616
decaying_epsilon_greedy,"eps_start=0.1,decay=200",260.58,40.70729173010653,0.5790666666666666,0.6048
decaying_epsilon_greedy,"eps_start=0.1,decay=250",260.62,38.7607481867933,0.5791555555555555,0.6084
decaying_epsilon_greedy,"eps_start=0.1,decay=300",263.36,38.53349711614559,0.5852444444444445,0.618
decaying_epsilon_greedy,"eps_start=0.1,decay=400",265.54,35.41649897999518,0.5900888888888889,0.6192
decaying_epsilon_greedy,"eps_start=0.1,decay=500",264.04,32.71694362253296,0.5867555555555556,0.6196
decaying_epsilon_greedy,"eps_start=0.1,decay=600",263.9,32.85681055732586,0.5864444444444444,0.6352
decaying_epsilon_greedy,"eps_start=0.1,decay=700",263.98,31.40859118139494,0.5866222222222223,0.6296
decaying_epsilon_greedy,"eps_start=0.2,decay=25",247.16,49.21112069441215,0.5492444444444444,0.5804
decaying_epsilon_greedy,"eps_start=0.2,decay=50",256.18,42.499265876012494,0.5692888888888888,0.6148
decaying_epsilon_greedy,"eps_start=0.2,decay=75",261.5,38.55191305240247,0.5811111111111111,0.61
decaying_epsilon_greedy,"eps_start=0.2,decay=100",263.24,37.589126087207724,0.5849777777777778,0.6052
decaying_epsilon_greedy,"eps_start=0.2,decay=150",264.42,34.63644900967765,0.5876,0.6228
decaying_epsilon_greedy,"eps_start=0.2,decay=200",268.62,32.48008004916244,0.5969333333333333,0.636
decaying_epsilon_greedy,"eps_start=0.2,decay=250",269.18,29.07554986582369,0.5981777777777778,0.6412
decaying_epsilon_greedy,"eps_start=0.2,decay=300",268.64,28.349081113856233,0.5969777777777778,0.6468
decaying_epsilon_greedy,"eps_start=0.2,decay=400",264.34,28.96798922949261,0.5874222222222222,0.6308
decaying_epsilon_greedy,"eps_start=0.2,decay=500",262.12,29.400435370926058,0.5824888888888888,0.6232
decaying_epsilon_greedy,"eps_start=0.2,decay=600",265.1,30.128557881186413,0.5891111111111111,0.6376
decaying_epsilon_greedy,"eps_start=0.2,decay=700",260.96,31.511877125934596,0.5799111111111112,0.6148
